word	completeness_level	documents_info
*18-jo	INCOMPLETE	[(3402, False)]
*18-to-no	COMPLETE	[(2654, True)]
*22-ja-ro	COMPLETE	[(911, True)]
*22-je-mi	INCOMPLETE	[(930, False)]
*22-jo	INCOMPLETE	[(1069, False)]
*22-ri-ta-ro	COMPLETE	[(3573, True)]
*34-ka	INCOMPLETE	[(4454, False)]
*34-ka-te-re	COMPLETE	[(5399, True)]
*34-ke-ja	COMPLETE	[(4891, True), (4986, True)]
*34-ke-te-si	COMPLETE	[(4962, True), (4963, True), (4964, True), (4965, True), (4966, True), (4968, True), (4969, True), (4970, True), (4971, True), (4972, True), (4973, True), (4974, True), (4975, True)]
*34-ke-u	COMPLETE	[(5348, True)]
*34-ki-no-o	COMPLETE	[(5408, True)]
*34-ra-ka-te-ra	COMPLETE	[(5399, True)]
*34-te	COMPLETE	[(4738, True)]
*34-to	COMPLETE	[(4867, True)]
*34-to-pi	COMPLETE	[(5410, True)]
*34-zo	COMPLETE	[(2965, True)]
*47-da	INCOMPLETE	[(948, False)]
*47-da-de	UNCERTAIN	[(1737, False), (4088, True)]
*47-de	INCOMPLETE	[(1798, False)]
*47-ku-to-de	COMPLETE	[(4092, True)]
*47-so	INCOMPLETE	[(2131, False)]
*47-so-de	UNCERTAIN	[(3946, True), (3951, True), (3986, False), (3987, True), (3996, False), (4023, False), (4033, True), (4053, False)]
*47-ta-qo	INCOMPLETE	[(957, False)]
*47-ti-jo	UNCERTAIN	[(680, True), (4233, False)]
*49-sa-ro	COMPLETE	[(682, True)]
*49-so	INCOMPLETE	[(3319, False), (3585, False)]
*49-wo	COMPLETE	[(3118, True)]
*56-du-nu-ka	COMPLETE	[(2944, True), (3566, True)]
*56-i-ti	COMPLETE	[(3989, True)]
*56-i-ti-je	INCOMPLETE	[(4027, False)]
*56-jo	INCOMPLETE	[(4181, False)]
*56-ko-we	MOSTLY_COMPLETE	[(1330, False), (1528, True), (2146, False), (2468, True), (2650, True), (2776, True), (2888, True), (2945, True), (2946, True), (2963, True), (2996, False), (3007, True), (3041, True), (3076, True), (3077, True), (3147, True), (3148, True), (3153, True), (3156, True), (3160, True), (3166, True), (3182, True), (3262, True), (3263, True), (3264, True), (3265, True), (3266, True), (3276, True), (3289, True), (4460, True), (4533, True)]
*56-ko-we-e	UNCERTAIN	[(3385, False), (3422, True)]
*56-ko-we-i	COMPLETE	[(3466, True), (3474, True)]
*56-ko-we-i-ja-qe	COMPLETE	[(4123, True)]
*56-ko-we-i-jo	COMPLETE	[(4139, True)]
*56-ko-we-qe	COMPLETE	[(2793, True)]
*56-na-ro	INCOMPLETE	[(3387, False)]
*56-ni-sa-ta	COMPLETE	[(2673, True)]
*56-po-so	COMPLETE	[(4464, True)]
*56-ra-ku-ja	COMPLETE	[(4436, True)]
*56-ri-to	UNCERTAIN	[(2109, False), (3109, True)]
*56-ryo	COMPLETE	[(3598, True)]
*56-so-jo	INCOMPLETE	[(2514, False)]
*56-ti	UNCERTAIN	[(4064, False), (4094, True)]
*56-wo	INCOMPLETE	[(3738, False)]
*56-za	INCOMPLETE	[(2663, False)]
*63-o-wa	COMPLETE	[(5407, True)]
*64-jo	INCOMPLETE	[(1283, False)]
*65-no	INCOMPLETE	[(644, False), (1957, False)]
*82-de	UNCERTAIN	[(4771, False), (5062, True)]
*83-re-jo-de	INCOMPLETE	[(4148, False)]
*83-re-te	COMPLETE	[(640, True)]
a	MOSTLY_INCOMPLETE	[(498, False), (556, False), (605, False), (682, False), (683, False), (687, False), (697, False), (712, False), (727, False), (898, False), (995, False), (1039, False), (1055, False), (1110, False), (1195, False), (1205, False), (1213, False), (1242, False), (1257, False), (1260, False), (1306, False), (1308, False), (1357, False), (1410, False), (1529, False), (1566, False), (1586, False), (1661, False), (1736, False), (1787, False), (1808, False), (1824, False), (1825, False), (2004, False), (2007, False), (2078, False), (2417, False), (2430, False), (2469, False), (2488, False), (2692, False), (3190, True), (3289, True), (3370, False), (3662, False), (3777, False), (3974, False), (4011, False), (4066, False), (4122, False), (4143, False), (4267, False), (4316, False), (4411, False), (4710, False), (4729, False), (4754, False), (4756, False), (4758, True), (4766, False), (4775, False), (4987, False), (5057, False), (5211, False), (5357, True), (5622, False), (5682, False)]
a-*34-ka	COMPLETE	[(4444, True), (4445, True)]
a-*34-to	COMPLETE	[(5081, True)]
a-*47	INCOMPLETE	[(302, False)]
a-*47-wi	INCOMPLETE	[(389, False)]
a-*56-da-ro	COMPLETE	[(2779, True)]
a-*56-no	MOSTLY_INCOMPLETE	[(2681, True), (2780, False), (3639, False)]
a-*64-ja	COMPLETE	[(4556, True), (4601, True), (5407, True)]
a-*64-ja-o	COMPLETE	[(4642, True), (4644, True)]
a-*64-jo	COMPLETE	[(321, True), (4783, True), (4987, True), (5073, True)]
a-*65-ma	INCOMPLETE	[(4113, False)]
a-*65-ma-na-ke	COMPLETE	[(4105, True)]
a-*65-na	COMPLETE	[(144, True)]
a-*79	COMPLETE	[(2355, True), (2650, True)]
a-da-ma-jo	COMPLETE	[(4944, True)]
